state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute,cluster,prob
IA,62,area_code_415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,59.309999999999995,644.0,255,0.09209627329192546,1,0.00015660322
NY,161,area_code_415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,92.29,816.7,305,0.11300355087547446,3,0.9989942
ID,85,area_code_408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,65.02,580.3999999999999,309,0.11202618883528603,0,6.600793e-06
VT,93,area_code_510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,58.989999999999995,546.6,352,0.10792169776802048,1,1.5911852e-05
VA,76,area_code_510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,60.50000000000001,578.2,245,0.10463507436873054,0,0.00018832083
TX,73,area_code_415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,63.9,589.7,255,0.1083601831439715,1,0.0005464051
FL,147,area_code_415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,59.0,614.1999999999999,347,0.09605991533702378,1,0.0013311412
CO,77,area_code_408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,36.019999999999996,447.59999999999997,285,0.08047363717605004,3,0.9997098
AZ,130,area_code_415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,48.06,447.20000000000005,308,0.10746869409660106,2,0.0001884897
SC,111,area_code_415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,41.05,445.0,318,0.09224719101123595,2,0.0014407735
VA,132,area_code_510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,48.08,573.5999999999999,275,0.08382147838214785,2,0.00047859715
NE,174,area_code_415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,60.15,667.6,311,0.09009886159376872,1,0.0002542667
WY,57,area_code_408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,63.24,596.3,345,0.10605399966459837,0,0.00013428101
MT,54,area_code_408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,44.61,406.59999999999997,248,0.10971470732907035,2,0.0005660127
MO,20,area_code_415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,64.12,636.0,301,0.1008176100628931,1,1.1248628e-05
HI,49,area_code_510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,49.6,524.1999999999999,318,0.09462037390309044,2,0.00016980132
IL,142,area_code_415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,41.14,486.2,314,0.08461538461538462,2,0.0010290262
NH,75,area_code_510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,69.42999999999999,684.0999999999999,316,0.1014910100862447,1,0.005123717
LA,172,area_code_408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,55.29,549.1,327,0.10069204152249134,1,8.721368e-05
AZ,12,area_code_408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,79.67999999999999,794.0,331,0.10035264483627203,3,0.9979202
OK,57,area_code_408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,58.49,593.5999999999999,289,0.09853436657681942,0,0.00017899109
GA,72,area_code_415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,66.72,604.8000000000001,262,0.1103174603174603,0,0.00031885382
AK,36,area_code_408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,48.42,452.6,323,0.1069818824569156,0,6.667086e-05
MA,78,area_code_415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,54.2,592.3,294,0.091507681917947,2,2.6185176e-06
AK,136,area_code_415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,58.03,503.7,321,0.1152074647607703,0,0.0030358445
NJ,149,area_code_408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,58.44,611.6,304,0.09555264879005886,1,7.789161e-06
GA,98,area_code_408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,46.63999999999999,490.3,327,0.09512543340811747,2,0.00046868357
MD,135,area_code_408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,56.199999999999996,513.8,285,0.10938108213312574,3,0.99965024
AR,34,area_code_510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,61.92999999999999,728.5,264,0.08501029512697322,1,0.0010648546
ID,160,area_code_415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,39.15,438.8,286,0.08922060164083864,2,0.000533497
WI,64,area_code_510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,58.260000000000005,648.6,275,0.08982423681776133,1,1.499193e-05
OR,59,area_code_408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,48.3,505.5,312,0.09554896142433233,0,0.00019811335
MI,65,area_code_415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,59.36000000000001,521.8,368,0.11376006132617864,1,3.8970156e-06
DE,142,area_code_408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,56.129999999999995,571.1999999999999,341,0.09826680672268907,1,0.00041646132
ID,119,area_code_415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,55.53,542.3999999999999,330,0.10237831858407083,3,0.997115
WY,97,area_code_415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,47.25,432.0,276,0.109375,0,0.00033006966
IA,52,area_code_408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,68.32,706.3,299,0.09672943508424182,1,0.0009689227
IN,60,area_code_408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,68.49000000000001,687.5,305,0.0996218181818182,1,0.00019785135
VA,10,area_code_408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,63.620000000000005,670.4999999999999,243,0.09488441461595826,1,0.00037592746
UT,96,area_code_415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,62.76,665.5,259,0.09430503380916604,1,0.00017747654
WY,87,area_code_415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,56.14,584.3000000000001,334,0.09608078042101659,3,0.9930716
IN,81,area_code_408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,65.94,705.2,254,0.09350538854225751,1,0.002109749
CO,141,area_code_415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,45.370000000000005,455.7,291,0.09956111476848806,2,0.00014031907
CO,121,area_code_408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,49.849999999999994,460.7,289,0.10820490557846754,3,0.98980814
WI,68,area_code_415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,55.36000000000001,537.2,343,0.10305286671630678,2,1.39580325e-05
OK,125,area_code_408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,65.82,608.0,333,0.10825657894736841,1,0.00073871715
ID,174,area_code_408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,57.67999999999999,540.0,250,0.1068148148148148,1,4.891545e-05
CA,116,area_code_415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,71.41999999999999,624.7,336,0.11432687690091241,0,0.00048914977
MN,74,area_code_510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,64.0,592.4,284,0.10803511141120865,0,0.000870878
SD,149,area_code_408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,62.029999999999994,646.6,215,0.09593257036807917,0,0.00012130568
NC,38,area_code_408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,45.51,461.3,309,0.09865597225233036,2,0.00054446305
WA,40,area_code_415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,50.89000000000001,537.9000000000001,271,0.09460866332031977,0,0.0010735758
WY,43,area_code_415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,70.46,631.4,280,0.11159328476401646,1,0.0019987111
MN,113,area_code_408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,46.88,469.20000000000005,359,0.0999147485080989,2,0.00028978154
UT,126,area_code_408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,63.42999999999999,589.8,212,0.10754493048491014,1,2.0310374e-05
TX,150,area_code_510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,55.199999999999996,510.40000000000003,318,0.10815047021943572,3,0.9957806
NJ,138,area_code_408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,72.08,719.4,290,0.10019460661662496,1,9.029709e-05
MN,162,area_code_510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,68.96,679.8000000000001,244,0.10144160047072666,0,0.0012032476
NM,147,area_code_510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,64.84,578.0,284,0.11217993079584776,1,6.20247e-05
NV,90,area_code_415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,62.67999999999999,589.8,373,0.10627331298745336,1,0.0012584848
HI,85,area_code_415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,65.16,593.2,305,0.10984490896830747,1,0.00010190476
MN,50,area_code_415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,55.49999999999999,567.9,276,0.09772847332276809,2,7.271247e-05
DC,82,area_code_415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,81.75,763.1000000000001,286,0.10712881666885073,3,0.9996432
NY,144,area_code_408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,27.02,319.9,312,0.08446389496717725,3,0.9958157
MN,46,area_code_415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,60.57,564.2,294,0.10735554767812831,1,2.1669523e-05
MD,70,area_code_408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,56.459999999999994,569.0,279,0.09922671353251317,1,7.648589e-05
WV,144,area_code_415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,73.63,741.8000000000001,295,0.09925856025882986,1,0.0014574551
OR,116,area_code_415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,69.96000000000001,711.3000000000001,300,0.09835512442007592,1,0.0002153289
CO,55,area_code_408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,50.599999999999994,488.4,313,0.1036036036036036,0,0.00043769873
GA,70,area_code_415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,77.16000000000001,741.6999999999999,272,0.10403127949305652,0,0.00060797366
TX,106,area_code_510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,68.94,663.5999999999999,272,0.10388788426763111,3,0.9775004
VT,128,area_code_510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,66.53999999999999,736.8000000000001,275,0.09030944625407164,0,5.7356297e-05
IN,94,area_code_408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,50.709999999999994,510.5,299,0.09933398628795298,3,0.9969939
WV,111,area_code_510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,65.6,617.2,295,0.10628645495787425,1,0.0013959775
KY,74,area_code_415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,48.72,490.5,256,0.09932721712538226,0,6.0707247e-05
NJ,128,area_code_415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,74.64,708.3,291,0.10537907666243118,3,0.9999552
DC,82,area_code_510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,48.96,459.5,263,0.106550598476605,2,0.00032055366
LA,155,area_code_415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,62.03,599.1999999999999,327,0.10352136181575436,3,0.9798692
AR,80,area_code_415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,49.36000000000001,558.4,279,0.08839541547277939,2,0.0009942045
ME,78,area_code_415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,72.6,704.7,320,0.10302256279267773,1,0.00012195565
AZ,90,area_code_415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,55.26,508.0,253,0.10877952755905511,1,0.00057564065
AK,104,area_code_408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,64.21000000000001,532.3999999999999,362,0.12060480841472582,1,3.3323493e-05
MT,73,area_code_415,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,56.68999999999999,560.5,258,0.10114183764495983,2,3.3018423e-05
AZ,99,area_code_415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,62.25000000000001,605.1,283,0.1028755577590481,1,0.002752111
MS,120,area_code_408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,62.809999999999995,594.0,337,0.10574074074074073,3,0.98463744
ID,77,area_code_415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,75.32000000000001,742.5,316,0.10144107744107746,3,0.99805284
IA,98,area_code_510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,57.24,577.9999999999999,301,0.09903114186851214,0,2.0149688e-05
MA,108,area_code_415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,56.129999999999995,511.0,320,0.10984344422700586,1,0.0001377807
VT,135,area_code_415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,46.849999999999994,461.2,293,0.10158282740676496,2,0.0019070357
KY,95,area_code_408,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,52.980000000000004,576.4000000000001,317,0.09191533657182512,2,0.0004367103
IN,122,area_code_408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,57.989999999999995,604.0999999999999,281,0.09599404072173481,1,0.0009967026
AZ,95,area_code_408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,68.13,627.0999999999999,286,0.10864295965555734,1,0.00013119758
MI,36,area_code_510,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,75.88000000000001,679.8,299,0.11162106501912329,0,0.0014128604
NM,93,area_code_510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,46.42999999999999,509.2,336,0.09118224666142968,2,5.355804e-06
CO,141,area_code_415,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,49.0,509.20000000000005,332,0.09622937941869598,0,0.00053291715
UT,157,area_code_408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,65.09,628.7,329,0.10353109591219978,1,4.3367356e-05
MI,120,area_code_408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,62.61000000000001,609.6999999999999,278,0.10268984746596689,1,0.00023438442
MA,103,area_code_415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,63.86,643.7,306,0.0992077054528507,1,7.253684e-05
AL,98,area_code_408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,57.120000000000005,591.6999999999999,351,0.09653540645597433,1,0.0016132755
DE,125,area_code_408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,53.78999999999999,593.8,320,0.09058605591108117,2,0.00082285824
AZ,63,area_code_415,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,36.48,449.29999999999995,276,0.08119296683730247,2,0.000470975
ME,36,area_code_510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,66.75,610.0,343,0.10942622950819672,3,0.99951196
NJ,64,area_code_510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,47.010000000000005,386.59999999999997,318,0.12159855147439216,2,3.1429085e-05
NV,74,area_code_415,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,76.91000000000001,681.8,282,0.11280434144910534,3,0.99929047
MO,112,area_code_510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,43.410000000000004,458.79999999999995,322,0.09461639058413254,0,0.000993945
ID,97,area_code_408,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0,67.83,606.6000000000001,324,0.11181998021760631,1,0.000120409546
NE,46,area_code_408,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,67.59,650.7,293,0.10387275242047025,1,5.045296e-05
TX,41,area_code_408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,56.74,505.0,314,0.11235643564356436,0,5.3324024e-05
MD,121,area_code_510,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,60.61,604.8,330,0.10021494708994709,1,8.2039325e-05
MS,193,area_code_415,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,48.51,427.70000000000005,312,0.11342062193126021,2,6.450289e-05
NV,130,area_code_510,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,48.29,500.99999999999994,341,0.09638722554890221,2,0.0003240853
AZ,85,area_code_408,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,68.33999999999999,695.3,266,0.0982885085574572,1,0.00034549175
MS,162,area_code_415,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,34.84,392.1,284,0.08885488395817394,3,0.994156
MS,61,area_code_510,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,56.23,566.1999999999999,366,0.09931119745672908,3,0.9944754
TX,92,area_code_408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,42.41,469.59999999999997,305,0.09031090289608178,2,0.0019555562
NE,131,area_code_408,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,64.63,650.0999999999999,341,0.0994154745423781,0,0.0002634294
NE,90,area_code_415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,52.78999999999999,521.0,334,0.10132437619961611,2,0.0008288441
CA,75,area_code_408,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0,54.919999999999995,587.3000000000001,297,0.09351268516941935,2,0.00059397897
NJ,78,area_code_415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,73.17999999999999,732.3,379,0.09993172197186945,1,0.0032280795
TX,82,area_code_408,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,62.34,614.7,263,0.10141532454856027,1,0.00038872886
AR,163,area_code_408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,62.46,615.1,328,0.10154446431474556,1,0.008963584
AL,91,area_code_510,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,50.95,561.6000000000001,331,0.09072293447293446,2,0.007169415
NY,75,area_code_415,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,60.49999999999999,636.0999999999999,346,0.09511083163024682,0,4.9243354e-05
FL,91,area_code_510,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,64.42999999999999,620.8,354,0.10378543814432989,1,0.001699091
AK,127,area_code_510,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,56.790000000000006,584.5,273,0.09715996578272028,0,0.00089975115
NV,113,area_code_415,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,57.660000000000004,525.8000000000001,227,0.10966146823887409,0,2.773194e-05
DE,110,area_code_510,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0,60.8,630.9,315,0.09637026470122048,1,0.00031335346
MD,120,area_code_415,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0,67.04,685.0,285,0.09786861313868614,0,0.00017233427
MI,157,area_code_415,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0,56.14,504.6,328,0.11125644074514467,0,0.0009216018
VT,103,area_code_510,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0,70.71,654.2,232,0.10808621216753285,1,0.00045432325
VT,117,area_code_408,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,58.53,608.1,314,0.096250616674889,3,0.9985208
MI,140,area_code_415,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0,61.86,516.6999999999999,302,0.11972130830269016,1,1.1359653e-05
WA,127,area_code_408,0,0,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0,55.09,567.3000000000001,283,0.09710911334390974,2,0.0043980996
