state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute
MA,108,area_code_415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,56.129999999999995,511.0,320,0.10984344422700586
VT,135,area_code_415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,46.849999999999994,461.2,293,0.10158282740676496
KY,95,area_code_408,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,52.980000000000004,576.4000000000001,317,0.09191533657182512
IN,122,area_code_408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,57.989999999999995,604.0999999999999,281,0.09599404072173481
AZ,95,area_code_408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,68.13,627.0999999999999,286,0.10864295965555734
MI,36,area_code_510,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,75.88000000000001,679.8,299,0.11162106501912329
NM,93,area_code_510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,46.42999999999999,509.2,336,0.09118224666142968
CO,141,area_code_415,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,49.0,509.20000000000005,332,0.09622937941869598
UT,157,area_code_408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,65.09,628.7,329,0.10353109591219978
MI,120,area_code_408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,62.61000000000001,609.6999999999999,278,0.10268984746596689
MA,103,area_code_415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,63.86,643.7,306,0.0992077054528507
AL,98,area_code_408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,57.120000000000005,591.6999999999999,351,0.09653540645597433
DE,125,area_code_408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,53.78999999999999,593.8,320,0.09058605591108117
AZ,63,area_code_415,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,36.48,449.29999999999995,276,0.08119296683730247
ME,36,area_code_510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,66.75,610.0,343,0.10942622950819672
NJ,64,area_code_510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,47.010000000000005,386.59999999999997,318,0.12159855147439216
NV,74,area_code_415,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,76.91000000000001,681.8,282,0.11280434144910534
MO,112,area_code_510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,43.410000000000004,458.79999999999995,322,0.09461639058413254
ID,97,area_code_408,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0,67.83,606.6000000000001,324,0.11181998021760631
NE,46,area_code_408,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,67.59,650.7,293,0.10387275242047025
TX,41,area_code_408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,56.74,505.0,314,0.11235643564356436
MD,121,area_code_510,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,60.61,604.8,330,0.10021494708994709
MS,193,area_code_415,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,48.51,427.70000000000005,312,0.11342062193126021
NV,130,area_code_510,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,48.29,500.99999999999994,341,0.09638722554890221
AZ,85,area_code_408,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,68.33999999999999,695.3,266,0.0982885085574572
MS,162,area_code_415,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,34.84,392.1,284,0.08885488395817394
MS,61,area_code_510,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,56.23,566.1999999999999,366,0.09931119745672908
TX,92,area_code_408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,42.41,469.59999999999997,305,0.09031090289608178
NE,131,area_code_408,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,64.63,650.0999999999999,341,0.0994154745423781
NE,90,area_code_415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,52.78999999999999,521.0,334,0.10132437619961611
CA,75,area_code_408,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0,54.919999999999995,587.3000000000001,297,0.09351268516941935
NJ,78,area_code_415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,73.17999999999999,732.3,379,0.09993172197186945
TX,82,area_code_408,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,62.34,614.7,263,0.10141532454856027
AR,163,area_code_408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,62.46,615.1,328,0.10154446431474556
AL,91,area_code_510,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,50.95,561.6000000000001,331,0.09072293447293446
NY,75,area_code_415,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,60.49999999999999,636.0999999999999,346,0.09511083163024682
FL,91,area_code_510,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,64.42999999999999,620.8,354,0.10378543814432989
AK,127,area_code_510,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,56.790000000000006,584.5,273,0.09715996578272028
NV,113,area_code_415,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,57.660000000000004,525.8000000000001,227,0.10966146823887409
DE,110,area_code_510,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0,60.8,630.9,315,0.09637026470122048
MD,120,area_code_415,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0,67.04,685.0,285,0.09786861313868614
MI,157,area_code_415,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0,56.14,504.6,328,0.11125644074514467
VT,103,area_code_510,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0,70.71,654.2,232,0.10808621216753285
VT,117,area_code_408,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,58.53,608.1,314,0.096250616674889
MI,140,area_code_415,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0,61.86,516.6999999999999,302,0.11972130830269016
WA,127,area_code_408,0,0,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0,55.09,567.3000000000001,283,0.09710911334390974
UT,83,area_code_408,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0,73.16,620.6,323,0.11788591685465677
LA,121,area_code_408,0,0,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,0,58.989999999999995,570.0,328,0.10349122807017543
RI,145,area_code_408,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,0,73.5,717.8,284,0.10239621064363333
IA,113,area_code_408,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0,62.38,598.1,298,0.10429694031098478
NE,117,area_code_415,0,0,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,0,51.239999999999995,618.6,323,0.08283220174587777
OH,65,area_code_408,0,0,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,0,57.60000000000001,580.3,326,0.0992590039634672
RI,56,area_code_415,0,0,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,0,67.72000000000001,621.9,384,0.10889210484000646
OK,96,area_code_415,0,0,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0,71.92,687.4,257,0.10462612743671808
LA,151,area_code_408,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,0,69.83,746.5,359,0.09354320160750167
OH,83,area_code_415,0,0,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,1,87.89,734.4999999999999,357,0.11965963240299525
VA,139,area_code_510,0,1,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,0,63.150000000000006,677.5,339,0.09321033210332104
MO,6,area_code_510,0,0,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,0,63.82,629.1,271,0.10144651088857097
FL,115,area_code_510,0,1,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,0,49.760000000000005,499.90000000000003,372,0.09953990798159633
SC,87,area_code_415,0,0,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0,45.92,453.1,311,0.10134628117413375
VA,141,area_code_415,0,0,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,0,72.08999999999999,724.1,330,0.09955807208949038
IA,141,area_code_510,0,1,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0,65.57,668.9,328,0.0980266108536403
MI,62,area_code_415,0,0,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,0,42.26,483.09999999999997,309,0.08747671289588077
